Authors,Title,Journal Title,Volume,Issue,Beginning Page,Ending Page,DOI,Publication Date,Publication Year,Conference Title,Conference Year,Times Cited,Web of Science,,,Author Last,First,First Initial,Author 1 split,Author 1 split 2,Author 1 trim,Author 1 proper,Author 1 initial,Author 1,Author 1 old,Author 2 Split,Author 2 split2,Author 2 trim,Author 2 Proper,Author 2 initial,Author 2,Author 2 old,Author 3 SPLIT,Auth,Author 3 trim,Author 3 Proper,Author 3 initial,Author 3,Author 3 OLD,,Author 4 OLD,,Author 4 trim,,Author 4 initial,Author 4,Author 4 OLD,Author 5 OLD,,Author 5 trim,,Author 5 initial,Author 5,Author 5 OLD,Author6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mago, Shakun D.; Sheremeta, Roman M.",New Hampshire Effect: behavior in sequential and simultaneous multi-battle contests,EXPERIMENTAL ECONOMICS,22,2,325,349,10.1007/s10683-018-9569-0,19-Jun,2019,,,1,WOS:000467910200002,,,Mago,Shakun,S,Mago, Shakun D.,Mago,Mago, S,"Mago, S.","Mago, Shakun D.", Sheremeta, Roman M.,Sheremeta,Sheremeta, R,"Sheremeta, R."," Sheremeta, Roman M.",,,,,,",.",,,,,,,,",.",,,,,,,",.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kotler, Philip; Manrai, Lalita A.; Lascu, Dana-Nicoleta; Manrai, Ajay K.","Influence of country and company characteristics on international business decisions: A review, conceptual model, and propositions",INTERNATIONAL BUSINESS REVIEW,28,3,482,498,10.1016/j.ibusrev.2018.11.006,19-Jun,2019,,,0,WOS:000466253400006,,,Kotler,Philip,P,Kotler, Philip,Kotler,Kotler, P,"Kotler, P.","Kotler, Philip", Manrai, Lalita A.,Manrai,Manrai, L,"Manrai, L."," Manrai, Lalita A.", Lascu, Dana-Nicoleta,Lascu,Lascu, D,"Lascu, D."," Lascu, Dana-Nicoleta",, Manrai, Ajay K.,Manrai,Manrai, A,"Manrai, A."," Manrai, Ajay K.",,,,,,",.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joshi, Piyush; Darr, Andrew J.; Skromne, Isaac",CDX4 regulates the progression of neural maturation in the spinal cord,DEVELOPMENTAL BIOLOGY,449,2,132,142,10.1016/j.ydbio.2019.02.014,MAY 15 2019,2019,,,0,WOS:000466826700008,,,Joshi,Piyush,P,Joshi, Piyush,Joshi,Joshi, P,"Joshi, P.","Joshi, Piyush", Darr, Andrew J.,Darr,Darr, A,"Darr, A."," Darr, Andrew J.", Skromne, Isaac,Skromne,Skromne, I,"Skromne, I."," Skromne, Isaac",,,,,,,",.",,,,,,,",.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Park, Hyejin; McEachon, Joseph D., II; Pollock, Julie A.",Synthesis and characterization of hydrogen peroxide activated estrogen receptor beta ligands,BIOORGANIC & MEDICINAL CHEMISTRY,27,10,2075,2082,10.1016/j.bmc.2019.04.003,MAY 15 2019,2019,,,0,WOS:000465176600013,,,Park,Hyejin,H,Park, Hyejin,Park,Park, H,"Park, H.","Park, Hyejin", McEachon, Joseph D.,McEachon,Mceachon, J,"Mceachon, J."," McEachon, Joseph D., II", Pollock, Julie A.,Pollock,Pollock, J,"Pollock, J."," Pollock, Julie A.",,,,,,,",.",,,,,,,",.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Duer, M.; Schmidt, A.; Pybus, J. R.; Segarra, E. P.; Hrnjic, A.; Denniston, A. W.; Weiss, R.; Hen, O.; Piasetzky, E.; Weinstein, L. B.; Barnea, N.; Korover, I; Cohen, E. O.; Hakobyan, H.; Adhikari, S.; Angelini, Giovanni; Battaglieri, M.; Beck, A.; Bedlinskiy, I; Biselli, A. S.; Boiarinov, S.; Brooks, W.; Burkert, V. D.; Cao, F.; Carman, D. S.; Celentano, A.; Chetry, T.; Ciullo, G.; Clark, L.; Cole, P. L.; Contalbrigo, M.; Cortes, O.; Crede, V; Torres, R. Cruz; D'Angelo, A.; Dashyan, N.; De Sanctis, E.; De Vita, R.; Deur, A.; Diehl, S.; Djalali, C.; Dupre, R.; Duran, Burcu; Egiyan, H.; El Alaoui, A.; El Fassi, L.; Eugenio, P.; Filippi, A.; Forest, T. A.; Gilfoyle, G. P.; Giovanetti, K. L.; Girod, F. X.; Golovatch, E.; Gothe, R. W.; Griffioen, K. A.; Guo, L.; Hafidi, K.; Hanretty, C.; Harrison, N.; Hattawy, M.; Hauenstein, F.; Hayward, T. B.; Heddle, D.; Hicks, K.; Holtrop, M.; Ilieva, Y.; Ireland, D. G.; Ishkhanov, B. S.; Isupov, E. L.; Jo, H. S.; Joo, K.; Kabir, M. L.; Keller, D.; Khachatryan, M.; Khanal, A.; Khandaker, M.; Kim, W.; Klein, F. J.; Kubarovsky, V; Kuhn, S. E.; Lanza, L.; Laskaris, G.; Lenisa, P.; Livingston, K.; MacGregor, I. J. D.; Marchand, D.; Markov, N.; McKinnon, B.; Beck, S. Mey-Tal; Mirazita, M.; Mokeev, V; Montgomery, R. A.; Movsisyan, A.; Camacho, C. Munoz; Mustapha, B.; Nadel-Turonski, P.; Niccolai, S.; Niculescu, G.; Osipenko, M.; Ostrovidov, A., I; Paolone, M.; Paremuzyan, R.; Park, K.; Pasyuk, E.; Patsyuk, M.; Phelps, W.; Pogorelko, O.; Prok, Y.; Protopopescu, D.; Ripani, M.; Rizzo, A.; Rosner, G.; Rossi, P.; Sabatie, F.; Schmookler, B. A.; Schumacher, R. A.; Sharabian, Y.; Skorodumina, Iu; Sokhan, D.; Sparveris, N.; Stepanyan, S.; Strauch, S.; Taiuti, M.; Tan, J. A.; Tyler, N.; Ungaro, M.; Voskanyan, H.; Voutier, E.; Wang, R.; Wei, X.; Wood, M. H.; Zachariou, N.; Zhang, J.; Zhao, Z. W.; Zheng, X.",Direct Observation of Proton-Neutron Short-Range Correlation Dominance in Heavy Nuclei,PHYSICAL REVIEW LETTERS,122,17,,,10.1103/PhysRevLett.122.172502,MAY 3 2019,2019,,,0,WOS:000467042000008,,,Duer,M.,M,Duer, M.,Duer,Duer, M,"Duer, M.","Duer, M.", Schmidt, A.,Schmidt,Schmidt, A,"Schmidt, A."," Schmidt, A.", Pybus, J. R.,Pybus,Pybus, J,"Pybus, J."," Pybus, J. R.",, Segarra, E. P.,Segarra,Segarra, E,"Segarra, E."," Segarra, E. P.", Hrnjic, A.,Hrnjic,Hrnjic, A,"Hrnjic, A."," Hrnjic, A."," Denniston, A. W."," Weiss, R."," Hen, O."," Piasetzky, E."," Weinstein, L. B."," Barnea, N."," Korover, I"," Cohen, E. O."," Hakobyan, H."," Adhikari, S."," Angelini, Giovanni"," Battaglieri, M."," Beck, A."," Bedlinskiy, I"," Biselli, A. S."," Boiarinov, S."," Brooks, W."," Burkert, V. D."," Cao, F."," Carman, D. S."," Celentano, A."," Chetry, T."," Ciullo, G."," Clark, L."," Cole, P. L."," Contalbrigo, M."," Cortes, O."," Crede, V"," Torres, R. Cruz"," D'Angelo, A."," Dashyan, N."," De Sanctis, E."," De Vita, R."," Deur, A."," Diehl, S."," Djalali, C."," Dupre, R."," Duran, Burcu"," Egiyan, H."," El Alaoui, A."," El Fassi, L."," Eugenio, P."," Filippi, A."," Forest, T. A."," Gilfoyle, G. P."," Giovanetti, K. L."," Girod, F. X."," Golovatch, E."," Gothe, R. W."," Griffioen, K. A."," Guo, L."," Hafidi, K."," Hanretty, C."," Harrison, N."," Hattawy, M."," Hauenstein, F."," Hayward, T. B."," Heddle, D."," Hicks, K."," Holtrop, M."," Ilieva, Y."," Ireland, D. G."," Ishkhanov, B. S."," Isupov, E. L."," Jo, H. S."," Joo, K."," Kabir, M. L."," Keller, D."," Khachatryan, M."," Khanal, A."," Khandaker, M."," Kim, W."," Klein, F. J."," Kubarovsky, V"," Kuhn, S. E."," Lanza, L."," Laskaris, G."," Lenisa, P."," Livingston, K."," MacGregor, I. J. D."," Marchand, D."," Markov, N."," McKinnon, B."," Beck, S. Mey-Tal"," Mirazita, M."," Mokeev, V"," Montgomery, R. A."," Movsisyan, A."," Camacho, C. Munoz"," Mustapha, B."," Nadel-Turonski, P."," Niccolai, S."," Niculescu, G."," Osipenko, M."," Ostrovidov, A., I"," Paolone, M."," Paremuzyan, R."," Park, K."," Pasyuk, E."," Patsyuk, M."," Phelps, W."," Pogorelko, O."," Prok, Y."," Protopopescu, D."," Ripani, M."," Rizzo, A."," Rosner, G."," Rossi, P."," Sabatie, F."," Schmookler, B. A."," Schumacher, R. A."," Sharabian, Y."," Skorodumina, Iu"," Sokhan, D."," Sparveris, N."," Stepanyan, S."," Strauch, S."," Taiuti, M."," Tan, J. A."," Tyler, N."," Ungaro, M."," Voskanyan, H."," Voutier, E."," Wang, R."," Wei, X."," Wood, M. H."," Zachariou, N."," Zhang, J."," Zhao, Z. W."," Zheng, X.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burnette, Jeni L.; Forsyth, Rachel B.; Desmarais, Sarah L.; Hoyt, Crystal L.",MINDSETS OF ADDICTION: IMPLICATIONS FOR TREATMENT INTENTIONS,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,38,5,367,394,10.1521/jscp.2019.38.5.367,19-May,2019,,,0,WOS:000467817100001,,,Burnette,Jeni,J,Burnette, Jeni L.,Burnette,Burnette, J,"Burnette, J.","Burnette, Jeni L.", Forsyth, Rachel B.,Forsyth,Forsyth, R,"Forsyth, R."," Forsyth, Rachel B.", Desmarais, Sarah L.,Desmarais,Desmarais, S,"Desmarais, S."," Desmarais, Sarah L.",, Hoyt, Crystal L.,Hoyt,Hoyt, C,"Hoyt, C."," Hoyt, Crystal L.",,,,,,",.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roy, P.; Park, S.; Crede, V.; Anisovich, A. V.; Klempt, E.; Nikonov, V. A.; Sarantsev, A. V.; Wei, N. C.; Huang, F.; Nakayama, K.; Adhikari, K. P.; Adhikari, S.; Angelini, G.; Avakian, H.; Barion, L.; Battaglieri, M.; Bedlinskiy, I.; Biselli, A. S.; Boiarinov, S.; Briscoe, W. J.; Brock, J.; Brooks, W. K.; Burkert, V. D.; Cao, F.; Carlin, C.; Carman, D. S.; Celentano, A.; Chatagnon, P.; Chetry, T.; Ciullo, G.; Cole, P. L.; Contalbrigo, M.; Cortes, O.; D'Angelo, A.; Dashyan, N.; De Vita, R.; De Sanctis, E.; Deur, A.; Diehl, S.; Djalali, C.; Dugger, M.; Dupre, R.; Duran, B.; Egiyan, H.; Ehrhart, M.; El Alaoui, A.; El Fassi, L.; Eugenio, P.; Fegan, S.; Filippi, A.; Fradi, A.; Gilfoyle, G. P.; Girod, F. X.; Golovatch, E.; Gothe, R. W.; Griffioen, K. A.; Guidal, M.; Guo, L.; Hafidi, K.; Hanretty, C.; Harrison, N.; Hattawy, M.; Hayward, T. B.; Heddle, D.; Hicks, K.; Holtrop, M.; Ilieva, Y.; Ireland, D. G.; Ishkhanov, B. S.; Isupov, E. L.; Jenkins, D.; Jo, H. S.; Johnston, S.; Joosten, S.; Kabir, M. L.; Keith, C. D.; Keller, D.; Khachatryan, G.; Khachatryan, M.; Khanal, A.; Khandaker, M.; Kim, A.; Kim, W.; Klein, F. J.; Kubarovsky, V.; Kuleshov, S. V.; Kunkel, M. C.; Lanza, L.; Lenisa, P.; Livingston, K.; MacGregor, I. J. D.; Marchand, D.; McKinnon, B.; Meekins, D. G.; Meyer, C. A.; Mineeva, T.; Mokeev, V.; Montgomery, R. A.; Movsisyan, A.; Camacho, C. Munoz; Nadel-Turonski, P.; Niccolai, S.; Niculescu, G.; Osipenko, M.; Ostrovidov, A. I.; Paolone, M.; Pappalardo, L. L.; Paremuzyan, R.; Pasyuk, E.; Payette, D.; Phelps, W.; Pierce, J.; Pogorelko, O.; Prok, Y.; Protopopescu, D.; Raue, B. A.; Ripani, M.; Riser, D.; Ritchie, B. G.; Rizzo, A.; Rosner, G.; Sabatie, F.; Salgado, C.; Schumacher, R. A.; Seely, M. L.; Sharabian, Y. G.; Shrestha, U.; Skorodumina, Iu.; Sokhan, D.; Soto, O.; Sparveris, N.; Strakovsky, I. I.; Strauch, S.; Taiuti, M.; Tan, J. A.; Torayev, B.; Tyler, N.; Ungaro, M.; Voskanyan, H.; Voutier, E.; Walford, N. K.; Wang, R.; Watts, D. P.; Wei, X.; Wood, M. H.; Zachariou, N.; Zhang, J.; Zhao, Z. W.","First Measurements of the Double-Polarization Observables F, P, and H in omega Photoproduction off Transversely Polarized Protons in the N* Resonance Region",PHYSICAL REVIEW LETTERS,122,16,,,10.1103/PhysRevLett.122.162301,APR 23 2019,2019,,,0,WOS:000466439100002,,,Roy,P.,P,Roy, P.,Roy,Roy, P,"Roy, P.","Roy, P.", Park, S.,Park,Park, S,"Park, S."," Park, S.", Crede, V.,Crede,Crede, V,"Crede, V."," Crede, V.",, Anisovich, A. V.,Anisovich,Anisovich, A,"Anisovich, A."," Anisovich, A. V.", Klempt, E.,Klempt,Klempt, E,"Klempt, E."," Klempt, E."," Nikonov, V. A."," Sarantsev, A. V."," Wei, N. C."," Huang, F."," Nakayama, K."," Adhikari, K. P."," Adhikari, S."," Angelini, G."," Avakian, H."," Barion, L."," Battaglieri, M."," Bedlinskiy, I."," Biselli, A. S."," Boiarinov, S."," Briscoe, W. J."," Brock, J."," Brooks, W. K."," Burkert, V. D."," Cao, F."," Carlin, C."," Carman, D. S."," Celentano, A."," Chatagnon, P."," Chetry, T."," Ciullo, G."," Cole, P. L."," Contalbrigo, M."," Cortes, O."," D'Angelo, A."," Dashyan, N."," De Vita, R."," De Sanctis, E."," Deur, A."," Diehl, S."," Djalali, C."," Dugger, M."," Dupre, R."," Duran, B."," Egiyan, H."," Ehrhart, M."," El Alaoui, A."," El Fassi, L."," Eugenio, P."," Fegan, S."," Filippi, A."," Fradi, A."," Gilfoyle, G. P."," Girod, F. X."," Golovatch, E."," Gothe, R. W."," Griffioen, K. A."," Guidal, M."," Guo, L."," Hafidi, K."," Hanretty, C."," Harrison, N."," Hattawy, M."," Hayward, T. B."," Heddle, D."," Hicks, K."," Holtrop, M."," Ilieva, Y."," Ireland, D. G."," Ishkhanov, B. S."," Isupov, E. L."," Jenkins, D."," Jo, H. S."," Johnston, S."," Joosten, S."," Kabir, M. L."," Keith, C. D."," Keller, D."," Khachatryan, G."," Khachatryan, M."," Khanal, A."," Khandaker, M."," Kim, A."," Kim, W."," Klein, F. J."," Kubarovsky, V."," Kuleshov, S. V."," Kunkel, M. C."," Lanza, L."," Lenisa, P."," Livingston, K."," MacGregor, I. J. D."," Marchand, D."," McKinnon, B."," Meekins, D. G."," Meyer, C. A."," Mineeva, T."," Mokeev, V."," Montgomery, R. A."," Movsisyan, A."," Camacho, C. Munoz"," Nadel-Turonski, P."," Niccolai, S."," Niculescu, G."," Osipenko, M."," Ostrovidov, A. I."," Paolone, M."," Pappalardo, L. L."," Paremuzyan, R."," Pasyuk, E."," Payette, D."," Phelps, W."," Pierce, J."," Pogorelko, O."," Prok, Y."," Protopopescu, D."," Raue, B. A."," Ripani, M."," Riser, D."," Ritchie, B. G."," Rizzo, A."," Rosner, G."," Sabatie, F."," Salgado, C."," Schumacher, R. A."," Seely, M. L."," Sharabian, Y. G."," Shrestha, U."," Skorodumina, Iu."," Sokhan, D."," Soto, O."," Sparveris, N."," Strakovsky, I. I."," Strauch, S."," Taiuti, M."," Tan, J. A."," Torayev, B."," Tyler, N."," Ungaro, M."," Voskanyan, H."," Voutier, E."," Walford, N. K."," Wang, R."," Watts, D. P."," Wei, X."," Wood, M. H."," Zachariou, N."," Zhang, J."," Zhao, Z. W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kentner, Amanda C.; Lambert, Kelly G.; Hannan, Anthony J.; Donaldson, S. Tifffany","Editorial: Environmental Enrichment: Enhancing Neural Plasticity, Resilience, and Repair",FRONTIERS IN BEHAVIORAL NEUROSCIENCE,13,,,,10.3389/fnbeh.2019.00075,APR 16 2019,2019,,,0,WOS:000465041700001,,,Kentner,Amanda,A,Kentner, Amanda C.,Kentner,Kentner, A,"Kentner, A.","Kentner, Amanda C.", Lambert, Kelly G.,Lambert,Lambert, K,"Lambert, K."," Lambert, Kelly G.", Hannan, Anthony J.,Hannan,Hannan, A,"Hannan, A."," Hannan, Anthony J.",, Donaldson, S. Tifffany,Donaldson,Donaldson, S,"Donaldson, S."," Donaldson, S. Tifffany",,,,,,",.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aldana, Elis; Otalora-Luna, Fernando","Artistic Notion of Mimicry, a Case Study: Does Triatoma maculata (Hemiptera: Reduviidae: Triatominae) Plagiarize Bees, Tigers or Traffic Signals?",BIOSEMIOTICS,12,1,157,174,10.1007/s12304-019-09351-1,19-Apr,2019,,,0,WOS:000467398500010,,,Aldana,Elis,E,Aldana, Elis,Aldana,Aldana, E,"Aldana, E.","Aldana, Elis", Otalora-Luna, Fernando,Otalora-Luna,Otalora-Luna, F,"Otalora-Luna, F."," Otalora-Luna, Fernando",,,,,,",.",,,,,,,,",.",,,,,,,",.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meyer, Manuella",MADHOUSE: PSYCHIATRY AND POLITICS IN CUBAN HISTORY. ENVISIONING CUBA SERIES,JOURNAL OF THE HISTORY OF THE BEHAVIORAL SCIENCES,55,2,167,169,10.1002/jhbs.21968,19-Apr,2019,,,0,WOS:000466781500008,,,Meyer,Manuella,M,Meyer, Manuella,Meyer,Meyer, M,"Meyer, M.","Meyer, Manuella",,,,,,",.",,,,,,,",.",,,,,,,,",.",,,,,,,",.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thekdi, Shital A.; Santos, Joost",Decision-Making Analytics Using Plural Resilience Parameters for Adaptive Management of Complex Systems,RISK ANALYSIS,39,4,871,889,10.1111/risa.13209,19-Apr,2019,,,0,WOS:000466403100011,,,Thekdi,Shital,S,Thekdi, Shital A.,Thekdi,Thekdi, S,"Thekdi, S.","Thekdi, Shital A.", Santos, Joost,Santos,Santos, J,"Santos, J."," Santos, Joost",,,,,,",.",,,,,,,,",.",,,,,,,",.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crawford, L. Elizabeth",Reply to Duffy and Smith's (2018) reexamination,PSYCHONOMIC BULLETIN & REVIEW,26,2,693,698,10.3758/s13423-019-01592-y,19-Apr,2019,,,0,WOS:000466392900032,,,Crawford,L.,L,Crawford, L. Elizabeth,Crawford,Crawford, L,"Crawford, L.","Crawford, L. Elizabeth",,,,,,",.",,,,,,,",.",,,,,,,,",.",,,,,,,",.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Faske, Trevor M.; Thompson, Lily M.; Banahene, Nana; Levorse, Andi; Herrera, Melisa Quiroga; Sherman, Kayla; Timko, Sarah E.; Yang, Banruo; Gray, David R.; Parry, Dylan; Tobin, Patrick C.; Eckert, Andrew J.; Johnson, Derek M.; Grayson, Kristine L.",Can gypsy moth stand the heat? A reciprocal transplant experiment with an invasive forest pest across its southern range margin,BIOLOGICAL INVASIONS,21,4,1365,1378,10.1007/s10530-018-1907-9,19-Apr,2019,,,0,WOS:000463042000024,,,Faske,Trevor,T,Faske, Trevor M.,Faske,Faske, T,"Faske, T.","Faske, Trevor M.", Thompson, Lily M.,Thompson,Thompson, L,"Thompson, L."," Thompson, Lily M.", Banahene, Nana,Banahene,Banahene, N,"Banahene, N."," Banahene, Nana",, Levorse, Andi,Levorse,Levorse, A,"Levorse, A."," Levorse, Andi", Herrera, Melisa Quiroga,Herrera,Herrera, M,"Herrera, M."," Herrera, Melisa Quiroga"," Sherman, Kayla"," Timko, Sarah E."," Yang, Banruo"," Gray, David R."," Parry, Dylan"," Tobin, Patrick C."," Eckert, Andrew J."," Johnson, Derek M."," Grayson, Kristine L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sacristan-Soriano, Oriol; Winkler, Marina; Erwin, Patrick; Weisz, Jeremy; Harriott, Olivia; Heussler, Gary; Bauer, Emily; Marsden, Brittany West; Hill, April; Hill, Malcolm","Ontogeny of symbiont community structure in two carotenoid-rich, viviparous marine sponges: comparison of microbiomes and analysis of culturable pigmented heterotrophic bacteria",ENVIRONMENTAL MICROBIOLOGY REPORTS,11,2,249,261,10.1111/1758-2229.12739,19-Apr,2019,,,0,WOS:000461871000019,,,Sacristan-Soriano,Oriol,O,Sacristan-Soriano, Oriol,Sacristan-Soriano,Sacristan-Soriano, O,"Sacristan-Soriano, O.","Sacristan-Soriano, Oriol", Winkler, Marina,Winkler,Winkler, M,"Winkler, M."," Winkler, Marina", Erwin, Patrick,Erwin,Erwin, P,"Erwin, P."," Erwin, Patrick",, Weisz, Jeremy,Weisz,Weisz, J,"Weisz, J."," Weisz, Jeremy", Harriott, Olivia,Harriott,Harriott, O,"Harriott, O."," Harriott, Olivia"," Heussler, Gary"," Bauer, Emily"," Marsden, Brittany West"," Hill, April"," Hill, Malcolm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
